Source,D:/job/monozukuri/PCB/PIC18F45K22_v2.1/PIC18F45K22_CPUBOARD_V21.sch,,,,,,,,
Kicad Rev,Eeschema 4.0.4-stable,,,,,,,,
Generated Date,2017/1/17 11:01,,,,,,,,

Title,PIC18F45K22 Control Board,,,,,,,,
Company,(c) JSD,,,,,,,,
Revision,2.1,,,,,,,,
Date Issue,2016/9/16,,,,,,,,

Reference,Value,部品名,価格,Library,Library Ref,,,,備考
BZ1,BUZZER,PKM13EPYH4000-A0 （秋月）,,device,SPEAKER,,,,
F1,PTC,RXEF050  （秋月）,,mylib,PTC,,,,
J2,con_PicKit3,ピンヘッダ（L型）1x6,20,mylib,con_PicKit3,,,,
SW2,P-03650,押釦SW P-03650 （秋月）,,mylib,SW_B3F-10xx,,,,
C5,0.1u,積セラDIP 0.1uF 2.5mmピッチ,,device,C_Small
C6,0.1u,積セラDIP 0.1uF 2.5mmピッチ,,device,C_Small
C7,0.1u,積セラDIP 0.1uF 2.5mmピッチ,,device,C_Small
C9,0.1u,積セラDIP 0.1uF 2.5mmピッチ,,device,C_Small
C1,10u,積セラDIP 10uF 5mmピッチ,,device,C_Small
C3,10u,積セラDIP 10uF 5mmピッチ,,device,C_Small
C2,10u,積セラDIP 10uF 5mmピッチ,,device,C_Small
